batch_size,adam_lr,probits_mae,default,logits_loss,id,loss,probits_acc1,flattened_input,hidden_layers,probits_acc,probits_loss,max_epochs,dropout_p,seed,hidden_activation,output_type,hidden_dim
128,0.01,1.095337986946106,2.5044541358947754,2.1606385707855225,undFv,2.1606385707855225,0.6986610889434814,False,1,0.3758670687675476,,500,0.1,21,swish,ordinal_coral_weighted,32
64,0.01,1.1585739850997925,2.507930278778076,1.569516897201538,cnE4d,1.569516897201538,0.6668817400932312,False,1,0.4021616280078888,,500,0.1,21,swish,categorical_unsmoohted,32
128,0.001,1.1105016469955444,2.4587786197662354,2.2795956134796143,YWa36,2.2795956134796143,0.6960800290107727,False,2,0.3802226185798645,,500,0.1,21,swish,ordinal_coral_weighted,512
128,0.0001,1.0427488088607788,2.5311217308044434,2.0782699584960938,QUb9c,2.0782699584960938,0.7167285084724426,True,1,0.3884497582912445,,500,0.1,21,swish,ordinal_coral_weighted,512
128,0.01,1.106791377067566,2.6763460636138916,2.6027896404266357,noPzd,2.6027896404266357,0.6993063688278198,False,2,0.3795773386955261,,500,0.1,21,swish,ordinal_coral_unweighted,512
128,0.01,1.1276012659072876,2.611027240753174,2.2635438442230225,vp0EX,2.2635438442230225,0.6864010095596313,True,1,0.3753831386566162,,500,0.1,21,swish,ordinal_coral_weighted,512
64,0.001,1.0264558792114258,2.483384847640991,2.373239755630493,KP0GD,2.373239755630493,0.7259235382080078,False,2,0.3944184482097626,,500,0.1,21,swish,ordinal_coral_unweighted,16
32,0.001,1.0737215280532837,2.3124706745147705,2.1440072059631348,Ta8Jv,2.1440072059631348,0.7120503187179565,False,3,0.3807065784931183,,500,0.1,21,swish,ordinal_coral_weighted,512
128,0.01,1.0645265579223633,2.7853035926818848,,AoKsA,0.04937257245182991,0.7251169681549072,False,3,0.37473785877227783,0.04937257245182991,500,0.5,21,swish,ordinal_vanilla,512
32,0.0001,1.0316179990768433,2.564427137374878,2.026048183441162,Tfjwa,2.026048183441162,0.7259235382080078,False,1,0.3924826681613922,,500,0.5,21,swish,ordinal_coral_weighted,512
64,0.0001,1.0217777490615845,2.3792800903320312,,NjGxM,0.04567582160234451,0.7312469482421875,False,2,0.39103081822395325,0.04567582160234451,500,0.1,21,swish,ordinal_vanilla,512
64,0.0001,1.0146797895431519,2.32279372215271,,JkEYe,0.04553842917084694,0.7346346378326416,False,2,0.39474108815193176,0.04553842917084694,500,0.1,21,swish,ordinal_vanilla,256
64,0.001,1.032585859298706,2.409163475036621,2.03462290763855,X9qrm,2.03462290763855,0.7231811285018921,False,3,0.394257128238678,,500,0.1,21,swish,ordinal_coral_weighted,32
64,0.01,1.24100661277771,2.402935028076172,1.7252386808395386,IcpYP,1.7252386808395386,0.6410711407661438,True,1,0.39070817828178406,,500,0.1,21,swish,categorical_unsmoohted,512
32,0.01,1.081787347793579,2.788909435272217,,h97mr,0.05023525282740593,0.7044684886932373,False,2,0.38296499848365784,0.05023525282740593,500,0.5,21,swish,ordinal_vanilla,512
128,0.001,1.004032850265503,2.3089983463287354,,yczYv,0.04500039294362068,0.7343119978904724,True,1,0.40361347794532776,0.04500039294362068,500,0.1,21,swish,ordinal_vanilla,256
64,0.01,1.1132440567016602,2.484738826751709,,wQDPU,0.0509604848921299,0.6944668292999268,False,2,0.3813518285751343,0.0509604848921299,500,0.1,21,swish,ordinal_vanilla,256
64,0.001,1.0193579196929932,2.345486640930176,,TcRn7,0.04580290615558624,0.7312469482421875,False,2,0.39877399802207947,0.04580290615558624,500,0.1,21,swish,ordinal_vanilla,256
32,0.01,1.1201807260513306,2.493776559829712,2.2952911853790283,l4YCx,2.2952911853790283,0.6880142092704773,False,1,0.37828680872917175,,500,0.1,21,swish,ordinal_coral_weighted,512
128,0.01,1.060977578163147,2.5862386226654053,2.068108320236206,ZbSVV,2.068108320236206,0.7196322083473206,True,1,0.37393128871917725,,500,0.5,21,swish,ordinal_coral_weighted,128
32,0.001,1.0516211986541748,2.4864377975463867,2.4293627738952637,WACXx,2.4293627738952637,0.7218906283378601,False,2,0.38699790835380554,,500,0.1,21,swish,ordinal_coral_unweighted,256
64,0.0001,1.0224230289459229,2.5350658893585205,2.389192819595337,kw0D8,2.389192819595337,0.7268914580345154,False,2,0.3981287181377411,,500,0.5,21,swish,ordinal_coral_unweighted,512
128,0.0001,1.042910099029541,2.476224660873413,2.0673468112945557,k01OO,2.0673468112945557,0.7220519185066223,True,1,0.38183578848838806,,500,0.1,21,swish,ordinal_coral_weighted,256
64,0.001,1.0161316394805908,2.3266360759735107,,bmOCs,0.04524436593055725,0.7326987981796265,False,2,0.39522504806518555,0.04524436593055725,500,0.1,21,swish,ordinal_vanilla,64
32,0.001,1.0153250694274902,2.3491225242614746,2.3716111183166504,zGEDS,2.3716111183166504,0.7294725179672241,False,3,0.39570897817611694,,500,0.1,21,swish,ordinal_coral_unweighted,32
64,0.01,1.0574285984039307,2.388129711151123,,uqX75,0.047118134796619415,0.7220519185066223,False,1,0.38183578848838806,0.047118134796619415,500,0.1,21,swish,ordinal_vanilla,64
32,0.001,1.1524438858032227,2.7211668491363525,2.267289638519287,fFANq,2.267289638519287,0.6776899695396423,True,3,0.3849007785320282,,500,0.1,21,swish,ordinal_coral_weighted,512
128,0.001,1.123890995979309,2.4797821044921875,1.5408613681793213,CInmu,1.5408613681793213,0.6751089096069336,True,2,0.40861427783966064,,500,0.1,21,swish,categorical_unsmoohted,256
128,0.001,1.0096789598464966,2.35886549949646,,a9iqa,0.045248858630657196,0.7367317080497742,False,1,0.3979674279689789,0.045248858630657196,500,0.1,21,swish,ordinal_vanilla,256
32,0.001,1.0659784078598022,2.378725528717041,1.5106549263000488,sfhTj,1.5106549263000488,0.6931763291358948,False,3,0.4149056375026703,,500,0.1,21,swish,categorical_unsmoohted,32
128,0.01,1.0677528381347656,2.8843584060668945,2.1416914463043213,X8bet,2.1416914463043213,0.7114050388336182,True,3,0.3890950083732605,,500,0.5,21,swish,ordinal_coral_weighted,16
